"Chronic Absenteeism"
7/1/2024

Year,Level,Division,School,Subgroup,"Count Below 10","Count Above 10","Percent Below 10","Percent above 10"
"2020 - 2021",SCH,"Albemarle County Public Schools","Crozet Elementary","All Students",294,27,91.6,8.4
"2020 - 2021",SCH,"Albemarle County Public Schools","Crozet Elementary",Asian,<,<,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Crozet Elementary",Black,<,<,66.7,33.3
"2020 - 2021",SCH,"Albemarle County Public Schools","Crozet Elementary","Economically Disadvantaged",68,17,80,20
"2020 - 2021",SCH,"Albemarle County Public Schools","Crozet Elementary","English Learners",11,0,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Crozet Elementary",Female,133,11,92.4,7.6
"2020 - 2021",SCH,"Albemarle County Public Schools","Crozet Elementary",Hispanic,18,5,78.3,21.7
"2020 - 2021",SCH,"Albemarle County Public Schools","Crozet Elementary",Homeless,<,<,,
"2020 - 2021",SCH,"Albemarle County Public Schools","Crozet Elementary",Male,161,16,91,9
"2020 - 2021",SCH,"Albemarle County Public Schools","Crozet Elementary","Multiple Races",14,2,87.5,12.5
"2020 - 2021",SCH,"Albemarle County Public Schools","Crozet Elementary","Native Hawaiian",<,<,,
"2020 - 2021",SCH,"Albemarle County Public Schools","Crozet Elementary","Students with Disabilities",34,3,91.9,8.1
"2020 - 2021",SCH,"Albemarle County Public Schools","Crozet Elementary",White,255,17,93.8,6.2
"2020 - 2021",SCH,"Albemarle County Public Schools","Hollymead Elementary","All Students",334,5,98.5,1.5
"2020 - 2021",SCH,"Albemarle County Public Schools","Hollymead Elementary","American Indian",<,<,,
"2020 - 2021",SCH,"Albemarle County Public Schools","Hollymead Elementary",Asian,69,1,98.6,1.4
"2020 - 2021",SCH,"Albemarle County Public Schools","Hollymead Elementary",Black,11,0,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Hollymead Elementary","Economically Disadvantaged",47,2,95.9,4.1
"2020 - 2021",SCH,"Albemarle County Public Schools","Hollymead Elementary","English Learners",33,1,97.1,2.9
"2020 - 2021",SCH,"Albemarle County Public Schools","Hollymead Elementary",Female,155,1,99.4,0.6
"2020 - 2021",SCH,"Albemarle County Public Schools","Hollymead Elementary",Hispanic,18,0,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Hollymead Elementary",Homeless,<,<,,
"2020 - 2021",SCH,"Albemarle County Public Schools","Hollymead Elementary",Male,179,4,97.8,2.2
"2020 - 2021",SCH,"Albemarle County Public Schools","Hollymead Elementary","Multiple Races",31,2,93.9,6.1
"2020 - 2021",SCH,"Albemarle County Public Schools","Hollymead Elementary","Students with Disabilities",49,1,98,2
"2020 - 2021",SCH,"Albemarle County Public Schools","Hollymead Elementary",White,204,2,99,1
"2020 - 2021",SCH,"Albemarle County Public Schools","Ivy Elementary","All Students",321,6,98.2,1.8
"2020 - 2021",SCH,"Albemarle County Public Schools","Ivy Elementary",Asian,<,<,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Ivy Elementary",Black,<,<,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Ivy Elementary","Economically Disadvantaged",30,5,85.7,14.3
"2020 - 2021",SCH,"Albemarle County Public Schools","Ivy Elementary","English Learners",<,<,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Ivy Elementary",Female,143,3,97.9,2.1
"2020 - 2021",SCH,"Albemarle County Public Schools","Ivy Elementary",Hispanic,25,0,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Ivy Elementary",Male,178,3,98.3,1.7
"2020 - 2021",SCH,"Albemarle County Public Schools","Ivy Elementary","Multiple Races",<,<,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Ivy Elementary","Students with Disabilities",35,0,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Ivy Elementary",White,280,6,97.9,2.1
"2020 - 2021",SCH,"Albemarle County Public Schools","Jackson P. Burley Middle","All Students",590,19,96.9,3.1
"2020 - 2021",SCH,"Albemarle County Public Schools","Jackson P. Burley Middle",Asian,33,0,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Jackson P. Burley Middle",Black,102,4,96.2,3.8
"2020 - 2021",SCH,"Albemarle County Public Schools","Jackson P. Burley Middle","Economically Disadvantaged",276,17,94.2,5.8
"2020 - 2021",SCH,"Albemarle County Public Schools","Jackson P. Burley Middle","English Learners",106,2,98.1,1.9
"2020 - 2021",SCH,"Albemarle County Public Schools","Jackson P. Burley Middle",Female,276,10,96.5,3.5
"2020 - 2021",SCH,"Albemarle County Public Schools","Jackson P. Burley Middle",Hispanic,139,3,97.9,2.1
"2020 - 2021",SCH,"Albemarle County Public Schools","Jackson P. Burley Middle",Homeless,<,<,,
"2020 - 2021",SCH,"Albemarle County Public Schools","Jackson P. Burley Middle",Male,314,9,97.2,2.8
"2020 - 2021",SCH,"Albemarle County Public Schools","Jackson P. Burley Middle","Multiple Races",29,4,87.9,12.1
"2020 - 2021",SCH,"Albemarle County Public Schools","Jackson P. Burley Middle","Native Hawaiian",<,<,,
"2020 - 2021",SCH,"Albemarle County Public Schools","Jackson P. Burley Middle","Students with Disabilities",94,5,94.9,5.1
"2020 - 2021",SCH,"Albemarle County Public Schools","Jackson P. Burley Middle",White,286,8,97.3,2.7
"2020 - 2021",SCH,"Albemarle County Public Schools","Joseph T. Henley Middle","All Students",843,25,97.1,2.9
"2020 - 2021",SCH,"Albemarle County Public Schools","Joseph T. Henley Middle","American Indian",<,<,,
"2020 - 2021",SCH,"Albemarle County Public Schools","Joseph T. Henley Middle",Asian,44,0,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Joseph T. Henley Middle",Black,22,0,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Joseph T. Henley Middle","Economically Disadvantaged",128,22,85.3,14.7
"2020 - 2021",SCH,"Albemarle County Public Schools","Joseph T. Henley Middle","English Learners",16,0,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Joseph T. Henley Middle",Female,430,15,96.6,3.4
"2020 - 2021",SCH,"Albemarle County Public Schools","Joseph T. Henley Middle",Hispanic,44,6,88,12
"2020 - 2021",SCH,"Albemarle County Public Schools","Joseph T. Henley Middle",Homeless,<,<,,
"2020 - 2021",SCH,"Albemarle County Public Schools","Joseph T. Henley Middle",Male,413,10,97.6,2.4
"2020 - 2021",SCH,"Albemarle County Public Schools","Joseph T. Henley Middle","Multiple Races",31,0,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Joseph T. Henley Middle","Native Hawaiian",<,<,,
"2020 - 2021",SCH,"Albemarle County Public Schools","Joseph T. Henley Middle","Students with Disabilities",83,6,93.3,6.7
"2020 - 2021",SCH,"Albemarle County Public Schools","Joseph T. Henley Middle",White,698,19,97.4,2.6
"2020 - 2021",SCH,"Albemarle County Public Schools","Journey Middle","All Students",678,0,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Journey Middle","American Indian",<,<,,
"2020 - 2021",SCH,"Albemarle County Public Schools","Journey Middle",Asian,36,0,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Journey Middle",Black,144,0,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Journey Middle","Economically Disadvantaged",403,0,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Journey Middle","English Learners",170,0,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Journey Middle",Female,343,0,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Journey Middle",Hispanic,182,0,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Journey Middle",Homeless,11,0,,
"2020 - 2021",SCH,"Albemarle County Public Schools","Journey Middle",Male,335,0,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Journey Middle","Multiple Races",52,0,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Journey Middle","Students with Disabilities",89,0,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Journey Middle",White,263,0,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Lakeside Middle","All Students",574,3,99.5,0.5
"2020 - 2021",SCH,"Albemarle County Public Schools","Lakeside Middle","American Indian",<,<,,
"2020 - 2021",SCH,"Albemarle County Public Schools","Lakeside Middle",Asian,52,0,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Lakeside Middle",Black,49,0,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Lakeside Middle","Economically Disadvantaged",130,2,98.5,1.5
"2020 - 2021",SCH,"Albemarle County Public Schools","Lakeside Middle","English Learners",41,1,97.6,2.4
"2020 - 2021",SCH,"Albemarle County Public Schools","Lakeside Middle",Female,290,1,99.7,0.3
"2020 - 2021",SCH,"Albemarle County Public Schools","Lakeside Middle",Hispanic,58,1,98.3,1.7
"2020 - 2021",SCH,"Albemarle County Public Schools","Lakeside Middle",Homeless,<,<,,
"2020 - 2021",SCH,"Albemarle County Public Schools","Lakeside Middle",Male,284,2,99.3,0.7
"2020 - 2021",SCH,"Albemarle County Public Schools","Lakeside Middle","Multiple Races",39,0,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Lakeside Middle","Students with Disabilities",63,2,96.9,3.1
"2020 - 2021",SCH,"Albemarle County Public Schools","Lakeside Middle",White,374,2,99.5,0.5
"2020 - 2021",SCH,"Albemarle County Public Schools","Leslie H. Walton Middle","All Students",335,8,97.7,2.3
"2020 - 2021",SCH,"Albemarle County Public Schools","Leslie H. Walton Middle",Asian,<,<,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Leslie H. Walton Middle",Black,32,0,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Leslie H. Walton Middle","Economically Disadvantaged",144,5,96.6,3.4
"2020 - 2021",SCH,"Albemarle County Public Schools","Leslie H. Walton Middle","English Learners",13,0,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Leslie H. Walton Middle",Female,165,3,98.2,1.8
"2020 - 2021",SCH,"Albemarle County Public Schools","Leslie H. Walton Middle",Hispanic,29,1,96.7,3.3
"2020 - 2021",SCH,"Albemarle County Public Schools","Leslie H. Walton Middle",Homeless,<,<,,
"2020 - 2021",SCH,"Albemarle County Public Schools","Leslie H. Walton Middle",Male,170,5,97.1,2.9
"2020 - 2021",SCH,"Albemarle County Public Schools","Leslie H. Walton Middle","Multiple Races",25,0,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Leslie H. Walton Middle","Native Hawaiian",<,<,,
"2020 - 2021",SCH,"Albemarle County Public Schools","Leslie H. Walton Middle","Students with Disabilities",69,2,97.2,2.8
"2020 - 2021",SCH,"Albemarle County Public Schools","Leslie H. Walton Middle",White,247,7,97.2,2.8
"2020 - 2021",SCH,"Albemarle County Public Schools","Mary Carr Greer Elementary","All Students",378,56,87.1,12.9
"2020 - 2021",SCH,"Albemarle County Public Schools","Mary Carr Greer Elementary",Asian,30,1,96.8,3.2
"2020 - 2021",SCH,"Albemarle County Public Schools","Mary Carr Greer Elementary",Black,100,16,86.2,13.8
"2020 - 2021",SCH,"Albemarle County Public Schools","Mary Carr Greer Elementary","Economically Disadvantaged",253,51,83.2,16.8
"2020 - 2021",SCH,"Albemarle County Public Schools","Mary Carr Greer Elementary","English Learners",128,33,79.5,20.5
"2020 - 2021",SCH,"Albemarle County Public Schools","Mary Carr Greer Elementary",Female,193,22,89.8,10.2
"2020 - 2021",SCH,"Albemarle County Public Schools","Mary Carr Greer Elementary",Hispanic,109,31,77.9,22.1
"2020 - 2021",SCH,"Albemarle County Public Schools","Mary Carr Greer Elementary",Homeless,4,8,,
"2020 - 2021",SCH,"Albemarle County Public Schools","Mary Carr Greer Elementary",Male,185,34,84.5,15.5
"2020 - 2021",SCH,"Albemarle County Public Schools","Mary Carr Greer Elementary","Multiple Races",32,2,94.1,5.9
"2020 - 2021",SCH,"Albemarle County Public Schools","Mary Carr Greer Elementary","Students with Disabilities",63,9,87.5,12.5
"2020 - 2021",SCH,"Albemarle County Public Schools","Mary Carr Greer Elementary",White,107,6,94.7,5.3
"2020 - 2021",SCH,"Albemarle County Public Schools","Monticello High","All Students",1108,61,94.8,5.2
"2020 - 2021",SCH,"Albemarle County Public Schools","Monticello High","American Indian",<,<,,
"2020 - 2021",SCH,"Albemarle County Public Schools","Monticello High",Asian,34,3,91.9,8.1
"2020 - 2021",SCH,"Albemarle County Public Schools","Monticello High",Black,135,10,93.1,6.9
"2020 - 2021",SCH,"Albemarle County Public Schools","Monticello High","Economically Disadvantaged",387,45,89.6,10.4
"2020 - 2021",SCH,"Albemarle County Public Schools","Monticello High","English Learners",65,11,85.5,14.5
"2020 - 2021",SCH,"Albemarle County Public Schools","Monticello High",Female,575,30,95,5
"2020 - 2021",SCH,"Albemarle County Public Schools","Monticello High",Hispanic,170,21,89,11
"2020 - 2021",SCH,"Albemarle County Public Schools","Monticello High",Homeless,<,<,,
"2020 - 2021",SCH,"Albemarle County Public Schools","Monticello High",Male,533,31,94.5,5.5
"2020 - 2021",SCH,"Albemarle County Public Schools","Monticello High","Multiple Races",73,4,94.8,5.2
"2020 - 2021",SCH,"Albemarle County Public Schools","Monticello High","Students with Disabilities",163,13,92.6,7.4
"2020 - 2021",SCH,"Albemarle County Public Schools","Monticello High",White,695,23,96.8,3.2
"2020 - 2021",SCH,"Albemarle County Public Schools","Mountain View Elementary","All Students",568,97,85.4,14.6
"2020 - 2021",SCH,"Albemarle County Public Schools","Mountain View Elementary",Asian,22,0,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Mountain View Elementary",Black,62,30,67.4,32.6
"2020 - 2021",SCH,"Albemarle County Public Schools","Mountain View Elementary","Economically Disadvantaged",229,88,72.2,27.8
"2020 - 2021",SCH,"Albemarle County Public Schools","Mountain View Elementary","English Learners",109,31,77.9,22.1
"2020 - 2021",SCH,"Albemarle County Public Schools","Mountain View Elementary",Female,258,47,84.6,15.4
"2020 - 2021",SCH,"Albemarle County Public Schools","Mountain View Elementary",Hispanic,176,43,80.4,19.6
"2020 - 2021",SCH,"Albemarle County Public Schools","Mountain View Elementary",Homeless,<,<,,
"2020 - 2021",SCH,"Albemarle County Public Schools","Mountain View Elementary",Male,310,50,86.1,13.9
"2020 - 2021",SCH,"Albemarle County Public Schools","Mountain View Elementary","Multiple Races",52,7,88.1,11.9
"2020 - 2021",SCH,"Albemarle County Public Schools","Mountain View Elementary","Native Hawaiian",<,<,,
"2020 - 2021",SCH,"Albemarle County Public Schools","Mountain View Elementary","Students with Disabilities",65,22,74.7,25.3
"2020 - 2021",SCH,"Albemarle County Public Schools","Mountain View Elementary",White,256,16,94.1,5.9
"2020 - 2021",SCH,"Albemarle County Public Schools","Red Hill Elementary","All Students",116,40,74.4,25.6
"2020 - 2021",SCH,"Albemarle County Public Schools","Red Hill Elementary",Asian,<,<,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Red Hill Elementary",Black,<,<,62.5,37.5
"2020 - 2021",SCH,"Albemarle County Public Schools","Red Hill Elementary","Economically Disadvantaged",57,36,61.3,38.7
"2020 - 2021",SCH,"Albemarle County Public Schools","Red Hill Elementary","English Learners",<,<,87.5,12.5
"2020 - 2021",SCH,"Albemarle County Public Schools","Red Hill Elementary",Female,55,19,74.3,25.7
"2020 - 2021",SCH,"Albemarle County Public Schools","Red Hill Elementary",Hispanic,11,9,55,45
"2020 - 2021",SCH,"Albemarle County Public Schools","Red Hill Elementary",Homeless,<,<,,
"2020 - 2021",SCH,"Albemarle County Public Schools","Red Hill Elementary",Male,61,21,74.4,25.6
"2020 - 2021",SCH,"Albemarle County Public Schools","Red Hill Elementary","Multiple Races",8,2,80,20
"2020 - 2021",SCH,"Albemarle County Public Schools","Red Hill Elementary","Students with Disabilities",22,7,75.9,24.1
"2020 - 2021",SCH,"Albemarle County Public Schools","Red Hill Elementary",White,91,26,77.8,22.2
"2020 - 2021",SCH,"Albemarle County Public Schools","Scottsville Elementary","All Students",176,29,85.9,14.1
"2020 - 2021",SCH,"Albemarle County Public Schools","Scottsville Elementary",Black,16,4,80,20
"2020 - 2021",SCH,"Albemarle County Public Schools","Scottsville Elementary","Economically Disadvantaged",75,25,75,25
"2020 - 2021",SCH,"Albemarle County Public Schools","Scottsville Elementary","English Learners",<,<,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Scottsville Elementary",Female,81,18,81.8,18.2
"2020 - 2021",SCH,"Albemarle County Public Schools","Scottsville Elementary",Hispanic,19,1,95,5
"2020 - 2021",SCH,"Albemarle County Public Schools","Scottsville Elementary",Homeless,<,<,,
"2020 - 2021",SCH,"Albemarle County Public Schools","Scottsville Elementary",Male,95,11,89.6,10.4
"2020 - 2021",SCH,"Albemarle County Public Schools","Scottsville Elementary","Multiple Races",<,<,87.5,12.5
"2020 - 2021",SCH,"Albemarle County Public Schools","Scottsville Elementary","Students with Disabilities",24,6,80,20
"2020 - 2021",SCH,"Albemarle County Public Schools","Scottsville Elementary",White,134,23,85.4,14.6
"2020 - 2021",SCH,"Albemarle County Public Schools","Stone Robinson Elementary","All Students",400,28,93.5,6.5
"2020 - 2021",SCH,"Albemarle County Public Schools","Stone Robinson Elementary",Asian,25,0,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Stone Robinson Elementary",Black,37,3,92.5,7.5
"2020 - 2021",SCH,"Albemarle County Public Schools","Stone Robinson Elementary","Economically Disadvantaged",102,22,82.3,17.7
"2020 - 2021",SCH,"Albemarle County Public Schools","Stone Robinson Elementary","English Learners",29,3,90.6,9.4
"2020 - 2021",SCH,"Albemarle County Public Schools","Stone Robinson Elementary",Female,208,15,93.3,6.7
"2020 - 2021",SCH,"Albemarle County Public Schools","Stone Robinson Elementary",Hispanic,47,6,88.7,11.3
"2020 - 2021",SCH,"Albemarle County Public Schools","Stone Robinson Elementary",Homeless,<,<,,
"2020 - 2021",SCH,"Albemarle County Public Schools","Stone Robinson Elementary",Male,192,13,93.7,6.3
"2020 - 2021",SCH,"Albemarle County Public Schools","Stone Robinson Elementary","Multiple Races",37,1,97.4,2.6
"2020 - 2021",SCH,"Albemarle County Public Schools","Stone Robinson Elementary","Students with Disabilities",47,9,83.9,16.1
"2020 - 2021",SCH,"Albemarle County Public Schools","Stone Robinson Elementary",White,254,18,93.4,6.6
"2020 - 2021",SCH,"Albemarle County Public Schools","Stony Point Elementary","All Students",163,10,94.2,5.8
"2020 - 2021",SCH,"Albemarle County Public Schools","Stony Point Elementary",Asian,<,<,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Stony Point Elementary",Black,26,4,86.7,13.3
"2020 - 2021",SCH,"Albemarle County Public Schools","Stony Point Elementary","Economically Disadvantaged",54,8,87.1,12.9
"2020 - 2021",SCH,"Albemarle County Public Schools","Stony Point Elementary","English Learners",<,<,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Stony Point Elementary",Female,81,8,91,9
"2020 - 2021",SCH,"Albemarle County Public Schools","Stony Point Elementary",Hispanic,24,0,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Stony Point Elementary",Homeless,<,<,,
"2020 - 2021",SCH,"Albemarle County Public Schools","Stony Point Elementary",Male,82,2,97.6,2.4
"2020 - 2021",SCH,"Albemarle County Public Schools","Stony Point Elementary","Multiple Races",16,2,88.9,11.1
"2020 - 2021",SCH,"Albemarle County Public Schools","Stony Point Elementary","Students with Disabilities",9,3,75,25
"2020 - 2021",SCH,"Albemarle County Public Schools","Stony Point Elementary",White,90,4,95.7,4.3
"2020 - 2021",SCH,"Albemarle County Public Schools","Virginia L. Murray Elementary","All Students",216,11,95.2,4.8
"2020 - 2021",SCH,"Albemarle County Public Schools","Virginia L. Murray Elementary","American Indian",<,<,,
"2020 - 2021",SCH,"Albemarle County Public Schools","Virginia L. Murray Elementary",Asian,16,1,94.1,5.9
"2020 - 2021",SCH,"Albemarle County Public Schools","Virginia L. Murray Elementary",Black,<,<,71.4,28.6
