case_number,agency,area,reported_date,crime_code,block_address,verified,locality,description,address,lon,lat
2019-00025345,ACPD,S8-18,2019-04-30T20:06:13Z,Shots Fired,8600 ROCKFISH GAP TPKE,VERIFIED,Albemarle County,Shots Fired,8600 ROCKFISH GAP TPKE Albemarle County,-78.7991026,38.0293356
2019-00011942,CPD,DN-15,2019-05-03T22:58:26Z,Shots Fired,1600 DEL MAR DR,VERIFIED,Charlottesville,Shots Fired,1600 DEL MAR DR Charlottesville,-78.4833127,38.0499735
2019-00026210,ACPD,S4-12,2019-05-04T18:35:49Z,Shots Fired,WILLIS FARM LN,VERIFIED,Albemarle County,Shots Fired,WILLIS FARM LN Albemarle County,-78.3443178,38.0146958
2019-00012476,CPD,CASE,2019-05-08T23:38:40Z,13A,1900 EMMET ST,CASE,Charlottesville,Aggravated Assault,1900 EMMET ST Charlottesville,-78.4925669,38.0606411
2019-00012722,CPD,CASE,2019-05-10T22:40:00Z,13A,500 HARRIS RD,CASE,Charlottesville,Aggravated Assault,500 HARRIS RD Charlottesville,-78.5036871,38.0150991
2019-00028563,ACPD,CASE,2019-05-16T20:07:58Z,09A,500 PETER JEFFERSON PKWY,CASE,Albemarle County,Murder,500 PETER JEFFERSON PKWY Albemarle County,-78.44491479999999,38.02213140000001
2019-00029034,ACPD,S4-12,2019-05-19T13:38:50Z,Shots Fired,4500 WOODS EDGE RD,VERIFIED,Albemarle County,Shots Fired,4500 WOODS EDGE RD Albemarle County,-78.34475379999999,37.9748185
2019-00013767,CPD,CASE,2019-05-20T19:26:41Z,13A,400 4TH ST,CASE,Charlottesville,Aggravated Assault,400 4TH ST Charlottesville,-78.47817649999999,38.032316
2019-00013910,CPD,CASE,2019-05-21T23:08:11Z,13A,400 GARRETT ST,CASE,Charlottesville,Aggravated Assault,400 GARRETT ST Charlottesville,-78.48163219999999,38.0277482
2019-00014142,CPD,DS-1,2019-05-23T21:16:06Z,Shots Fired,800 NASSAU ST,VERIFIED,Charlottesville,Shots Fired,800 NASSAU ST Charlottesville,-78.46757939999999,38.0184647
2019-00014382,CPD,DS-2,2019-05-25T22:48:28Z,Shots Fired,400 GARRETT ST,VERIFIED,Charlottesville,Shots Fired,400 GARRETT ST Charlottesville,-78.48163219999999,38.0277482
2019-00033004,ACPD,S5-13,2019-06-05T18:18:34Z,Shots Fired,3000 MILTON VILLAGE LN,VERIFIED,Albemarle County,Shots Fired,3000 MILTON VILLAGE LN Albemarle County,-78.4031395,38.00122959999999
2019-00033503,ACPD,S8-19,2019-06-07T23:30:06Z,Shots Fired,4100 BALLARDS MILL RD,VERIFIED,Albemarle County,Shots Fired,4100 BALLARDS MILL RD Albemarle County,-78.6010234,38.1463771
2019-00016140,CPD,DC-3,2019-06-12T01:00:42Z,Shots Fired,800 HARDY DR,VERIFIED,Charlottesville,Shots Fired,800 HARDY DR Charlottesville,-78.49039789999999,38.0332385
2019-00034620,ACPD,S4-10,2019-06-13T19:17:03Z,Shots Fired,SERPENTINE LN,VERIFIED,Albemarle County,Shots Fired,SERPENTINE LN Albemarle County,-78.4111414,38.0665916
2019-00034648,ACPD,S5-3,2019-06-13T22:06:54Z,Shots Fired,1200 SWAN LAKE DR,VERIFIED,Albemarle County,Shots Fired,1200 SWAN LAKE DR Albemarle County,-78.4948151,38.0042845
2019-00016770,CPD,CASE,2019-06-17T21:21:55Z,13A,400 GARRETT ST,CASE,Charlottesville,Aggravated Assault,400 GARRETT ST Charlottesville,-78.48163219999999,38.0277482
2019-00037067,ACPD,S4-2,2019-06-26T00:33:46Z,Shots Fired,1200 KNIGHTSBRIDGE CT,VERIFIED,Albemarle County,Shots Fired,1200 KNIGHTSBRIDGE CT Albemarle County,-78.4495184,38.0282857
2019-00038383,ACPD,S8-19,2019-07-01T21:05:33Z,Shots Fired,4200 BLUFTON MILL RD,VERIFIED,Albemarle County,Shots Fired,4200 BLUFTON MILL RD Albemarle County,-78.61929529999999,38.1528585
2019-00038627,ACPD,S5-14,2019-07-02T18:59:29Z,Shots Fired,PORTERS RD,VERIFIED,Albemarle County,Shots Fired,PORTERS RD Albemarle County,-78.5920616,37.816972
2019-00018811,CPD,DC-1,2019-07-05T23:32:08Z,Shots Fired,400 MAIN ST,VERIFIED,Charlottesville,Shots Fired,400 MAIN ST Charlottesville,-78.4867153,38.0304408
2019-00019011,CPD,DN-19,2019-07-07T23:06:36Z,Shots Fired,1900 SWANSON DR,VERIFIED,Charlottesville,Shots Fired,1900 SWANSON DR Charlottesville,-78.494151,38.0618151
2019-00039833,ACPD,S5-14,2019-07-08T20:32:34Z,Shots Fired,6900 PORTERS RD,VERIFIED,Albemarle County,Shots Fired,6900 PORTERS RD Albemarle County,-78.59158479999999,37.8411267
2019-00019860,CPD,DS-2,2019-07-16T01:20:00Z,Shots Fired,400 GARRETT ST,VERIFIED,Charlottesville,Shots Fired,400 GARRETT ST Charlottesville,-78.48163219999999,38.0277482
2019-00020272,CPD,DN-3,2019-07-20T02:25:22Z,Shots Fired,800 ROSE HILL DR,VERIFIED,Charlottesville,Shots Fired,800 ROSE HILL DR Charlottesville,-78.4865978,38.0383147
2019-00020273,CPD,DN-1,2019-07-20T02:47:42Z,Shots Fired,10TH ST,VERIFIED,Charlottesville,Shots Fired,10TH ST Charlottesville,-78.4968608,38.0279517
2019-00044847,ACPD,S1-6,2019-08-01T21:33:46Z,Shots Fired,800 RUNNEL CT,VERIFIED,Albemarle County,Shots Fired,800 RUNNEL CT Albemarle County,-78.511344,38.063551
2019-00045850,ACPD,S5-14,2019-08-07T11:04:11Z,Shots Fired,7000 SECRETARYS SAND RD,VERIFIED,Albemarle County,Shots Fired,7000 SECRETARYS SAND RD Albemarle County,-78.63901919999999,37.846714
2019-00046450,ACPD,S5-13,2019-08-10T13:51:26Z,Shots Fired,1400 BRIERY CREEK RD,VERIFIED,Albemarle County,Shots Fired,1400 BRIERY CREEK RD Albemarle County,-78.45054619999999,37.855167
2019-00046663,ACPD,S2-1,2019-08-11T21:21:03Z,Shots Fired,800 MALLSIDE FOREST CT,VERIFIED,Albemarle County,Shots Fired,800 MALLSIDE FOREST CT Albemarle County,-78.4684583,38.07985
2019-00023197,CPD,DC-3,2019-08-16T01:07:18Z,Shots Fired,800 HARDY DR,VERIFIED,Charlottesville,Shots Fired,800 HARDY DR Charlottesville,-78.49039789999999,38.0332385
2019-00048033,ACPD,S4-2,2019-08-18T00:52:07Z,Shots Fired,1400 RICHMOND RD,VERIFIED,Albemarle County,Shots Fired,1400 RICHMOND RD Albemarle County,-78.6114999,38.0567092
2019-00048105,ACPD,S5-14,2019-08-18T17:07:34Z,Shots Fired,7000 SECRETARYS SAND RD,VERIFIED,Albemarle County,Shots Fired,7000 SECRETARYS SAND RD Albemarle County,-78.63901919999999,37.846714
2019-00049757,ACPD,S2-1,2019-08-25T21:45:27Z,Shots Fired,800 MALLSIDE FOREST CT,VERIFIED,Albemarle County,Shots Fired,800 MALLSIDE FOREST CT Albemarle County,-78.4684583,38.07985
2019-00025103,CPD,DC-3,2019-09-02T00:06:00Z,Shots Fired,800 HARDY DR,VERIFIED,Charlottesville,Shots Fired,800 HARDY DR Charlottesville,-78.49039789999999,38.0332385
2019-00027076,CPD,CASE,2019-09-19T15:50:46Z,13A,700 PROSPECT AVE,CASE,Charlottesville,Aggravated Assault,700 PROSPECT AVE Charlottesville,-78.49439579999999,38.0246386
2019-00054682,ACPD,S3-20,2019-09-19T19:26:14Z,Shots Fired,1600 FRAYS RIDGE XING,VERIFIED,Albemarle County,Shots Fired,1600 FRAYS RIDGE XING Albemarle County,-78.455866,38.1861107
2019-00055092,ACPD,S4-11,2019-09-21T18:57:52Z,Shots Fired,4500 DEER BONN RD,VERIFIED,Albemarle County,Shots Fired,4500 DEER BONN RD Albemarle County,-78.3433186,38.0129115
2019-00056568,ACPD,S8-18,2019-09-29T22:10:59Z,Shots Fired,BURCHS CREEK RD,VERIFIED,Albemarle County,Shots Fired,BURCHS CREEK RD Albemarle County,-78.7198807,38.0187188
2019-00029018,CPD,DS-2,2019-10-06T19:52:05Z,Shots Fired,400 GARRETT ST,VERIFIED,Charlottesville,Shots Fired,400 GARRETT ST Charlottesville,-78.48163219999999,38.0277482
2019-00059136,ACPD,S3-8,2019-10-11T11:39:51Z,Shots Fired,2700 POWELL CREEK DR,VERIFIED,Albemarle County,Shots Fired,2700 POWELL CREEK DR Albemarle County,-78.4412009,38.1114002
2019-00029919,CPD,DN-1,2019-10-14T12:59:10Z,Shots Fired,700 ANDERSON ST,VERIFIED,Charlottesville,Shots Fired,700 ANDERSON ST Charlottesville,-78.4884184,38.0342151
2019-00030551,CPD,CASE,2019-10-19T22:49:28Z,13A,700 PROSPECT AVE,CASE,Charlottesville,Aggravated Assault,700 PROSPECT AVE Charlottesville,-78.49439579999999,38.0246386
2019-00060964,ACPD,S3-8,2019-10-20T12:47:33Z,Shots Fired,3000 COLONIAL DR,VERIFIED,Albemarle County,Shots Fired,3000 COLONIAL DR Albemarle County,-78.6114999,38.0567092
2019-00030900,CPD,DS-5,2019-10-23T06:31:42Z,Shots Fired,700 PROSPECT AVE,VERIFIED,Charlottesville,Shots Fired,700 PROSPECT AVE Charlottesville,-78.49439579999999,38.0246386
2019-00031587,CPD,DS-2,2019-10-28T20:36:38Z,Shots Fired,MONTICELLO AVE,VERIFIED,Charlottesville,Shots Fired,MONTICELLO AVE Charlottesville,-78.4757521,38.0174618
2019-00031701,CPD,DS-1,2019-10-29T18:40:35Z,Shots Fired,600 BOLLING AVE,VERIFIED,Charlottesville,Shots Fired,600 BOLLING AVE Charlottesville,-78.4812549,38.0240921
2019-00032008,CPD,CASE,2019-11-01T02:20:48Z,13A,900 1ST ST,CASE,Charlottesville,Aggravated Assault,900 1ST ST Charlottesville,-78.48562609999999,38.022898
2019-00064153,ACPD,S3-20,2019-11-04T16:13:13Z,Shots Fired,600 REAS FORD RD,VERIFIED,Albemarle County,Shots Fired,600 REAS FORD RD Albemarle County,-78.5077436,38.1413598
2019-00064422,ACPD,S5-3,2019-11-05T11:08:30Z,Shots Fired,1200 TIMBERBRANCH CT,VERIFIED,Albemarle County,Shots Fired,1200 TIMBERBRANCH CT Albemarle County,-78.508085,38.0019519
2019-00064971,ACPD,CASE,2019-11-07T18:13:35Z,13A,2200 COMMONWEALTH DR,CASE,Albemarle County,Aggravated Assault,2200 COMMONWEALTH DR Albemarle County,-78.49312599999999,38.0696355
2019-00065434,ACPD,S8-17,2019-11-10T09:34:29Z,Shots Fired,5700 SUNRISE ACRES ST,VERIFIED,Albemarle County,Shots Fired,5700 SUNRISE ACRES ST Albemarle County,-78.69954050000001,38.084151
2019-00065467,ACPD,S8-18,2019-11-10T14:35:21Z,Shots Fired,ORTMAN RD,VERIFIED,Albemarle County,Shots Fired,ORTMAN RD Albemarle County,-78.7668238,38.0114686
2019-00066242,ACPD,S6-4,2019-11-14T10:01:22Z,Shots Fired,100 HICKORY ST,VERIFIED,Albemarle County,Shots Fired,100 HICKORY ST Albemarle County,-78.51386289999999,38.0038036
2019-00066808,ACPD,S7-16,2019-11-17T07:28:18Z,Shots Fired,2000 OWENSVILLE RD,VERIFIED,Albemarle County,Shots Fired,2000 OWENSVILLE RD Albemarle County,-78.582608,38.0914667
2019-00068050,ACPD,S1-7,2019-11-22T22:59:42Z,Shots Fired,900 HILTON HEIGHTS RD,VERIFIED,Albemarle County,Shots Fired,900 HILTON HEIGHTS RD Albemarle County,-78.4646552,38.0971053
2019-00068150,ACPD,S8-18,2019-11-23T13:07:04Z,Shots Fired,JARMANS GAP RD,VERIFIED,Albemarle County,Shots Fired,JARMANS GAP RD Albemarle County,-78.750470000000007,38.0734481
2019-00068181,ACPD,S7-16,2019-11-23T19:58:12Z,Shots Fired,2500 ANDREW LN,VERIFIED,Albemarle County,Shots Fired,2500 ANDREW LN Albemarle County,-78.58865469999999,38.0654539
2019-00034617,CPD,CASE,2019-11-25T18:57:00Z,13A,800 HARDY DR,CASE,Charlottesville,Aggravated Assault,800 HARDY DR Charlottesville,-78.49039789999999,38.0332385
2019-00069874,ACPD,S5-13,2019-12-01T18:25:15Z,Shots Fired,4200 BLENHEIM RD,VERIFIED,Albemarle County,Shots Fired,4200 BLENHEIM RD Albemarle County,-78.49685939999999,37.9213517
2019-00035664,CPD,DN-7,2019-12-06T23:08:24Z,Shots Fired,GRADY AVE,VERIFIED,Charlottesville,Shots Fired,GRADY AVE Charlottesville,-78.495246,38.0397966
2019-00072009,ACPD,S2-1,2019-12-11T20:32:31Z,Shots Fired,800 MALLSIDE FOREST CT,VERIFIED,Albemarle County,Shots Fired,800 MALLSIDE FOREST CT Albemarle County,-78.4684583,38.07985
2019-00036404,CPD,CASE,2019-12-14T05:49:16Z,13A,300 RIVERSIDE AVE,CASE,Charlottesville,Aggravated Assault,300 RIVERSIDE AVE Charlottesville,-78.4553269,38.0239342
2019-00036446,CPD,DS-1,2019-12-14T19:03:06Z,Shots Fired,1400 VINE ST,VERIFIED,Charlottesville,Shots Fired,1400 VINE ST Charlottesville,-78.4685837,38.0197156
2019-00073115,ACPD,S1-6,2019-12-17T03:08:20Z,Shots Fired,500 BURGOYNE RD,VERIFIED,Albemarle County,Shots Fired,500 BURGOYNE RD Albemarle County,-78.51060319999999,38.0642578
2019-00046411,UPD,CASE,2019-12-21T10:19:31Z,13A,400 MASSIE RD,CASE,Charlottesville,Aggravated Assault,400 MASSIE RD Charlottesville,-78.5121367,38.0482491
2019-00074429,ACPD,S1-6,2019-12-23T00:32:36Z,Shots Fired,2300 PEYTON DR,VERIFIED,Albemarle County,Shots Fired,2300 PEYTON DR Albemarle County,-78.4934019,38.0729196
2019-00074751,ACPD,S8-18,2019-12-24T15:37:45Z,Shots Fired,800 BEAGLE GAP RD,VERIFIED,Albemarle County,Shots Fired,800 BEAGLE GAP RD Albemarle County,-78.7551246,38.0581367
2019-00075097,ACPD,S8-17,2019-12-26T16:35:25Z,Shots Fired,1700 LANETOWN WAY,VERIFIED,Albemarle County,Shots Fired,1700 LANETOWN WAY Albemarle County,-78.71811629999999,38.0760321
2019-00075832,ACPD,S5-13,2019-12-30T14:18:39Z,Shots Fired,6200 JEFFERSON MILL RD,VERIFIED,Albemarle County,Shots Fired,6200 JEFFERSON MILL RD Albemarle County,-78.45820400000001,37.8639579
2019-00037850,CPD,DS-5,2019-12-30T19:29:41Z,Shots Fired,PROSPECT AVE,VERIFIED,Charlottesville,Shots Fired,PROSPECT AVE Charlottesville,-78.4959054,38.0226236
2020-00000779,ACPD,S5-13,2020-01-04T15:40:51Z,Shots Fired,1800 ED JONES RD,VERIFIED,Albemarle County,Shots Fired,1800 ED JONES RD Albemarle County,-78.4367151,37.9098622
2020-00000619,CPD,DS-3,2020-01-07T02:23:34Z,Shots Fired,ROCKLAND AVE,VERIFIED,Charlottesville,Shots Fired,ROCKLAND AVE Charlottesville,-78.4826635,38.0177396
2020-00000801,CPD,DS-5,2020-01-09T03:14:05Z,Shots Fired,700 PROSPECT AVE,VERIFIED,Charlottesville,Shots Fired,700 PROSPECT AVE Charlottesville,-78.49439579999999,38.0246386
2020-00001807,ACPD,S7-16,2020-01-09T15:21:38Z,Shots Fired,1200 BROWNS GAP TPKE,VERIFIED,Albemarle County,Shots Fired,1200 BROWNS GAP TPKE Albemarle County,-78.6479114,38.0635542
2020-00000895,CPD,DN-7,2020-01-10T03:21:17Z,Shots Fired,1100 RUGBY RD,VERIFIED,Charlottesville,Shots Fired,1100 RUGBY RD Charlottesville,-78.4931277,38.0463932
2020-00001109,CPD,CASE,2020-01-12T10:44:19Z,13A,700 PROSPECT AVE,CASE,Charlottesville,Aggravated Assault,700 PROSPECT AVE Charlottesville,-78.49439579999999,38.0246386
2020-00001187,CPD,DN-4,2020-01-12T22:59:52Z,Shots Fired,500 MCINTIRE RD,VERIFIED,Charlottesville,Shots Fired,500 MCINTIRE RD Charlottesville,-78.4814262,38.03523690000001
2020-00002948,ACPD,S1-6,2020-01-15T03:36:50Z,Shots Fired,2200 COMMONWEALTH DR,VERIFIED,Albemarle County,Shots Fired,2200 COMMONWEALTH DR Albemarle County,-78.49312599999999,38.0696355
2020-00003437,ACPD,S5-14,2020-01-17T16:01:17Z,Shots Fired,WARREN FERRY RD,VERIFIED,Albemarle County,Shots Fired,WARREN FERRY RD Albemarle County,-78.5567712,37.759808
2020-00001749,CPD,DS-3,2020-01-18T01:34:40Z,Shots Fired,6TH ST,VERIFIED,Charlottesville,Shots Fired,6TH ST Charlottesville,-78.4902638,38.028322
2020-00005731,ACPD,CASE,2020-01-29T01:11:05Z,13A,1100 ANGLER CT,CASE,Albemarle County,Aggravated Assault,1100 ANGLER CT Albemarle County,-78.5255827,37.9998059
2020-00006442,ACPD,S4-12,2020-02-01T15:47:04Z,Shots Fired,3700 WHITETAIL LN,VERIFIED,Albemarle County,Shots Fired,3700 WHITETAIL LN Albemarle County,-78.6114999,38.0567092
2020-00007459,ACPD,S8-17,2020-02-07T07:48:18Z,Shots Fired,8200 WEST END DR,VERIFIED,Albemarle County,Shots Fired,8200 WEST END DR Albemarle County,-78.70936929999999,38.0650223
2020-00003907,CPD,CASE,2020-02-09T00:21:44Z,13A,600 BOLLING AVE,CASE,Charlottesville,Aggravated Assault,600 BOLLING AVE Charlottesville,-78.4812549,38.0240921
2020-00004541,CPD,DN-7,2020-02-15T20:52:10Z,Shots Fired,800 CABELL AVE,VERIFIED,Charlottesville,Shots Fired,800 CABELL AVE Charlottesville,-78.4964411,38.0423574
2020-00006202,CPD,CASE,2020-03-02T23:56:11Z,13A,800 HARDY DR,CASE,Charlottesville,Aggravated Assault,800 HARDY DR Charlottesville,-78.49039789999999,38.0332385
2020-00006234,CPD,DN-1,2020-03-03T07:20:10Z,Shots Fired,PAOLI ST,VERIFIED,Charlottesville,Shots Fired,PAOLI ST Charlottesville,-78.4921792,38.035596
2020-00013928,ACPD,S8-17,2020-03-11T17:08:40Z,Shots Fired,1500 CROZET AVE,VERIFIED,Albemarle County,Shots Fired,1500 CROZET AVE Albemarle County,-78.6992267,38.077634
2020-00007143,CPD,CASE,2020-03-12T03:18:02Z,13A,900 1ST ST,CASE,Charlottesville,Aggravated Assault,900 1ST ST Charlottesville,-78.48562609999999,38.022898
2020-00014274,ACPD,S5-13,2020-03-13T17:17:38Z,Shots Fired,3000 GABLES RUN RD,VERIFIED,Albemarle County,Shots Fired,3000 GABLES RUN RD Albemarle County,-78.4001479,37.9977423
2020-00014290,ACPD,S5-13,2020-03-13T18:30:31Z,Shots Fired,SUTLERS RD,VERIFIED,Albemarle County,Shots Fired,SUTLERS RD Albemarle County,-78.4190533,37.9977819
2020-00007325,CPD,CASE,2020-03-14T01:10:41Z,13A,500 2ND ST,CASE,Charlottesville,Aggravated Assault,500 2ND ST Charlottesville,-78.4786948,38.0342875
2020-00014775,ACPD,S6-4,2020-03-17T02:29:10Z,Shots Fired,OLD LYNCHBURG RD,VERIFIED,Albemarle County,Shots Fired,OLD LYNCHBURG RD Albemarle County,-78.56979,37.9694367
2020-00007797,CPD,DN-7,2020-03-19T13:44:44Z,Shots Fired,14TH ST,VERIFIED,Charlottesville,Shots Fired,14TH ST Charlottesville,-78.4977858,38.0375221
2020-00016423,ACPD,S6-4,2020-03-28T00:46:26Z,Shots Fired,HICKORY ST,VERIFIED,Albemarle County,Shots Fired,HICKORY ST Albemarle County,-78.5192854,37.9996478
2020-00008486,CPD,DS-2,2020-03-28T05:18:00Z,Shots Fired,400 GARRETT ST,VERIFIED,Charlottesville,Shots Fired,400 GARRETT ST Charlottesville,-78.48163219999999,38.0277482
2020-00008792,CPD,DS-2,2020-03-31T21:01:58Z,Shots Fired,400 GARRETT ST,VERIFIED,Charlottesville,Shots Fired,400 GARRETT ST Charlottesville,-78.48163219999999,38.0277482
2020-00008820,CPD,DC-3,2020-04-01T11:56:27Z,Shots Fired,800 HARDY DR,VERIFIED,Charlottesville,Shots Fired,800 HARDY DR Charlottesville,-78.49039789999999,38.0332385
2020-00008907,CPD,CASE,2020-04-02T23:26:40Z,13A,1200 EMMET ST,CASE,Charlottesville,Aggravated Assault,1200 EMMET ST Charlottesville,-78.4985906,38.0529166
2020-00008981,CPD,CASE,2020-04-03T23:46:58Z,13A,800 HARDY DR,CASE,Charlottesville,Aggravated Assault,800 HARDY DR Charlottesville,-78.49039789999999,38.0332385
2020-00009022,CPD,CASE,2020-04-04T19:50:39Z,13A,800 HARDY DR,CASE,Charlottesville,Aggravated Assault,800 HARDY DR Charlottesville,-78.49039789999999,38.0332385
2020-00017923,ACPD,CASE,2020-04-05T08:24:43Z,09A,500 CRESTWOOD DR,CASE,Albemarle County,Murder,500 CRESTWOOD DR Albemarle County,-78.5181398,38.0506718
2020-00018269,ACPD,S1-7,2020-04-07T09:50:25Z,Shots Fired,2400 WOODBURN RD,VERIFIED,Albemarle County,Shots Fired,2400 WOODBURN RD Albemarle County,-78.4686293,38.101407
2020-00018607,ACPD,S3-9,2020-04-08T19:24:30Z,Shots Fired,200 ST IVES RD,VERIFIED,Albemarle County,Shots Fired,200 ST IVES RD Albemarle County,-78.42389969999999,38.157456
