school_year,division,school,subgroup,n_students,percent,school_level,school_short
2016-2017,ACPS,Stony Point Elementary,All Students,10,4.3,Elementary,Stony Point
2016-2017,ACPS,Stony Point Elementary,Asian,0,0,Elementary,Stony Point
2016-2017,ACPS,Stony Point Elementary,Black,3,11.1,Elementary,Stony Point
2016-2017,ACPS,Stony Point Elementary,Hispanic,0,0,Elementary,Stony Point
2016-2017,ACPS,Stony Point Elementary,White,5,3.1,Elementary,Stony Point
2016-2017,ACPS,Stony Point Elementary,Multiple Races,0,0,Elementary,Stony Point
2016-2017,ACPS,Stony Point Elementary,Students with Disabilities,2,7.4,Elementary,Stony Point
2016-2017,ACPS,Stony Point Elementary,Economically Disadvantaged,7,10.3,Elementary,Stony Point
2016-2017,ACPS,Stony Point Elementary,English Learners,0,0,Elementary,Stony Point
2016-2017,ACPS,Stony Point Elementary,Homeless,0,0,Elementary,Stony Point
2016-2017,ACPS,Stony Point Elementary,Military Connected,0,0,Elementary,Stony Point
2016-2017,ACPS,Virginia L. Murray Elementary,All Students,12,5,Elementary,Va Murray
2016-2017,ACPS,Virginia L. Murray Elementary,American Indian,0,0,Elementary,Va Murray
2016-2017,ACPS,Virginia L. Murray Elementary,Asian,0,0,Elementary,Va Murray
2016-2017,ACPS,Virginia L. Murray Elementary,Black,2,20,Elementary,Va Murray
2016-2017,ACPS,Virginia L. Murray Elementary,Hispanic,0,0,Elementary,Va Murray
2016-2017,ACPS,Virginia L. Murray Elementary,White,10,5.6,Elementary,Va Murray
2016-2017,ACPS,Virginia L. Murray Elementary,Multiple Races,0,0,Elementary,Va Murray
2016-2017,ACPS,Virginia L. Murray Elementary,Students with Disabilities,3,10.7,Elementary,Va Murray
2016-2017,ACPS,Virginia L. Murray Elementary,Economically Disadvantaged,6,21.4,Elementary,Va Murray
2016-2017,ACPS,Virginia L. Murray Elementary,English Learners,0,0,Elementary,Va Murray
2016-2017,ACPS,Virginia L. Murray Elementary,Homeless,0,0,Elementary,Va Murray
2016-2017,ACPS,Western Albemarle High,All Students,38,3.5,High,WAHS
2016-2017,ACPS,Western Albemarle High,American Indian,0,0,High,WAHS
2016-2017,ACPS,Western Albemarle High,Asian,0,0,High,WAHS
2016-2017,ACPS,Western Albemarle High,Black,1,3.4,High,WAHS
2016-2017,ACPS,Western Albemarle High,Hispanic,3,7.3,High,WAHS
2016-2017,ACPS,Western Albemarle High,Native Hawaiian,0,0,High,WAHS
2016-2017,ACPS,Western Albemarle High,White,31,3.3,High,WAHS
2016-2017,ACPS,Western Albemarle High,Multiple Races,3,7.3,High,WAHS
2016-2017,ACPS,Western Albemarle High,Students with Disabilities,10,9.1,High,WAHS
2016-2017,ACPS,Western Albemarle High,Economically Disadvantaged,9,8.1,High,WAHS
2016-2017,ACPS,Western Albemarle High,English Learners,0,0,High,WAHS
2016-2017,ACPS,Western Albemarle High,Homeless,0,0,High,WAHS
2016-2017,ACPS,Western Albemarle High,Military Connected,0,0,High,WAHS
2016-2017,ACPS,Western Albemarle High,Foster Care,0,0,High,WAHS
2016-2017,ACPS,Woodbrook Elementary,All Students,13,4,Elementary,Woodbrook
2016-2017,ACPS,Woodbrook Elementary,American Indian,0,0,Elementary,Woodbrook
2016-2017,ACPS,Woodbrook Elementary,Asian,0,0,Elementary,Woodbrook
2016-2017,ACPS,Woodbrook Elementary,Black,1,1.2,Elementary,Woodbrook
2016-2017,ACPS,Woodbrook Elementary,Hispanic,5,7.4,Elementary,Woodbrook
2016-2017,ACPS,Woodbrook Elementary,White,5,3.8,Elementary,Woodbrook
2016-2017,ACPS,Woodbrook Elementary,Multiple Races,2,8,Elementary,Woodbrook
2016-2017,ACPS,Woodbrook Elementary,Students with Disabilities,5,10.6,Elementary,Woodbrook
2016-2017,ACPS,Woodbrook Elementary,Economically Disadvantaged,9,5,Elementary,Woodbrook
2016-2017,ACPS,Woodbrook Elementary,English Learners,5,7.4,Elementary,Woodbrook
2016-2017,ACPS,Woodbrook Elementary,Homeless,2,18.2,Elementary,Woodbrook
2016-2017,ACPS,Woodbrook Elementary,Foster Care,0,0,Elementary,Woodbrook
2016-2017,CCS,Buford Middle,All Students,46,9.2,Middle,Buford
2016-2017,CCS,Buford Middle,Asian,2,5,Middle,Buford
2016-2017,CCS,Buford Middle,Black,26,15.4,Middle,Buford
2016-2017,CCS,Buford Middle,Hispanic,4,5.5,Middle,Buford
2016-2017,CCS,Buford Middle,White,13,6.8,Middle,Buford
2016-2017,CCS,Buford Middle,Multiple Races,1,3.6,Middle,Buford
2016-2017,CCS,Buford Middle,Students with Disabilities,7,9.2,Middle,Buford
2016-2017,CCS,Buford Middle,Economically Disadvantaged,34,12.2,Middle,Buford
2016-2017,CCS,Buford Middle,English Learners,5,5.4,Middle,Buford
2016-2017,CCS,Buford Middle,Homeless,0,0,Middle,Buford
2016-2017,CCS,Buford Middle,Military Connected,0,0,Middle,Buford
