type,county_code,license_name,business_name,premise_street,premise_city,premise_zip_code,business_type
1,107,"Lowers & Associates, Llc",No Business Name Provided,125 East Hirst Rd Ste 3c,Purcellville,20132,Residential
1,107,"Keane, Mike",Spring Crossing Firearms,14355 Spring Crossing Ln,Purcellville,20132,Business
1,107,Davis Guns & Gear Llc,No Business Name Provided,417 Browning Court,Purcellville,20132,Residential
1,107,Siegert Enterprises Llc,Straight Shooters Gunsmithing,14245 Spring Crossing Ln,Purcellville,20132,Business
1,107,"Mountains Edge Gunsmithing, Llc",No Business Name Provided,14607 Summit View Lane,Hillsboro,20132,Residential
1,107,"Norbo, Kirk Myron",No Business Name Provided,441 E Main St,Purcellville,20132,Residential
1,107,"Bennett, Roger W",Bennett Technical Services,19150 Nicholson Farm Lane,Purcellville,20132,Business
7,107,Bamf Customs Inc,No Business Name Provided,860 E Main Street Suite A,Purcellville,20132,Residential
7,107,400 Browning Court Llc,No Business Name Provided,400 Browning Court,Purcellville,20132,Residential
7,107,Tbl Llc,Tbl Arms,17000 Berlin Turnpike,Purcellville,20132,Business
7,107,Sync Development Solutions Llc,No Business Name Provided,201 Grassy Ridge Ter,Purcellville,20132,Residential
7,107,Virginia Citizens Armory Llc,No Business Name Provided,37904 Armor Court,Purcellville,20132,Residential
8,107,Virginia Citizens Armory Llc,Citizens Armory Imports,37904 Armor Court,Purcellville,20132,Business
1,107,Loudoun Lumber Co Inc,No Business Name Provided,121 North Bailey Lane,Purcellville,201320000,Residential
1,107,Purcell Store Inc,No Business Name Provided,141 East Main St,Purcellville,20134,Residential
1,107,Lucky 7 Arms Llc,No Business Name Provided,34344 Snickersville Tpk,Bluemont,201350000,Residential
1,153,Specialized Applications Group Llc,Sag Firearms,9925 Solitary Pl,Bristow,20136,Business
1,153,Ready Arms And Services Llc,Ready Arms,9803 Solitary Pl,Bristow,20136,Business
6,61,Vanderford Group Llc,No Business Name Provided,6310 Beverleys Mill Road,Broad Run,20137,Residential
7,61,Vanderford Group Llc,Drop Zone 66,6310 Beverleys Mill Road,Broad Run,20137,Business
1,107,Five Forty Llc,No Business Name Provided,36127 Bell Road,Round Hill,20141,Residential
7,107,Vasa Llc,Va Silent Arsenal,35510 Saint James Dr,Round Hill,20141,Business
8,107,Vasa Llc,"Bertram Brass Usa, Va Silent Arsenal",35510 Saint James Drive,Round Hill,20141,Business
1,153,Investigative Risk Management Inc,Irm Inc,13199 Cavendish Run Ct,Catharpin,20143,Business
1,61,Dinicolo And Schulz Training And Firearms Llc,No Business Name Provided,3322 Rokeby Rd,Delaplane,20144,Residential
1,107,"Fowler, Randolf W",No Business Name Provided,20778 Lucinda Ct,Ashburn,20147,Residential
1,107,"Nachman Construction, Llc",Arsenal Wholesale,21750 Red Rum Dr  Suite 102,Ashburn,20147,Business
1,107,"Hammad, Ryan K",No Business Name Provided,19888 Smith Circle,Ashburn,20147,Residential
7,107,Silver Eagle Group Northern Virginia Llc,No Business Name Provided,21550 Beaumeade Circle,Ashburn,20147,Residential
7,107,"Hammad, Ryan Kayed",Dynaco,19888 Smith Cir,Ashburn,20147,Business
7,107,Psyonic Arms Llc,No Business Name Provided,21248 Rosetta Place,Ashburn,20147,Residential
7,107,"Caliber Club Shooting Sports, Inc",Xcal Shooting Sports And Fitness,44950 Russell Branch Parkway,Ashburn,20147,Business
8,107,Eurenco Bofors Inc,No Business Name Provided,"20130 Lakeview Center Plaza, Suite 400",Ashburn,20147,Residential
8,107,Rockwell Defense Group Llc,No Business Name Provided,44921 George Washington Blvd Suite 210,Ashburn,20147,Residential
8,107,Psyonic Arms Llc,No Business Name Provided,21248 Rosetta Place,Ashburn,20147,Residential
11,107,Rockwell Defense Group Llc,No Business Name Provided,44921 George Washington Blvd Suite 210,Ashburn,20147,Residential
1,107,Mvm Inc,No Business Name Provided,44620 Guilford Drive Suite 150,Ashburn,201476504,Residential
1,107,"Shkarovsky, Gerald Igor",Wolfe Historical Arms,43170 Southern Walk Plaza Suite 118,Ashburn,20148,Business
1,107,"Rimfire Sports, Inc",Rimfire Sports & Custom,24178 Statesboro Place,Ashburn,20148,Business
1,59,"Seneca Strategic Partners, Llc",No Business Name Provided,14200 Park Meadow Drive Suite 125-N,Chantilly,20151,Residential
1,59,"Itility, Llc",No Business Name Provided,14840 Conference Center Dr Ste 100,Chantilly,20151,Residential
1,59,"Seneca Global Services, Llc",No Business Name Provided,14200 Park Meadow Drive Suite 125-N,Chantilly,20151,Residential
1,59,"Barber, Timothy",Mil Spec Tactical,"4080 Lafayette Center Dr, Ste 250",Chantilly,20151,Business
1,59,"Dobias, Albert Gregg",No Business Name Provided,15206 Louis Mill Dr,Chantilly,20151,Residential
1,59,"Gerald, Jeffrey Paul",Master Arms,14117 Robert Paris Court,Chantilly,20151,Business
1,59,Soc Llc,No Business Name Provided,"3975 Virginia Mallory Drive, Suite 200",Chantilly,20151,Residential
7,59,Chantilly Arms Llc,Chantilly Arms,14117 Robert Paris Court,Chantilly,20151,Business
7,59,"River Front Services, Inc",No Business Name Provided,15049 Conference Center Dr Suite #130,Chantilly,20151,Residential
7,59,"Capital Supply Company, Llc",Csc,14210 F Sullyfield Circle,Chantilly,20151,Business
7,59,B3a Corporation,B3 Armament,14117 Robert Paris Ct,Chantilly,20151,Business
7,59,Kudu Dynamics Llc,No Business Name Provided,14401 Penrose Pl Ste 500,Chantilly,20151,Residential
7,59,Tracer Tc Llc,Tracer Enterprises,14117 Robert Paris Court,Chantilly,20151,Business
8,59,Redlattice Inc,No Business Name Provided,14399 Penrose Place Suite 420,Chantilly,20151,Residential
8,59,Red White  & Blue  Llc,Rwb,4264-O Entre Court,Chantilly,20151,Business
11,59,Ocr Global Inc,No Business Name Provided,4116 Walney Road Ste D,Chantilly,20151,Residential
11,59,Multinational Defense Services Llc,No Business Name Provided,"4116 Walney Road, Ste D",Chantilly,20151,Residential
1,107,Vulcan Strategies Llc,No Business Name Provided,25450 Pleasant Valley Rd,Chantilly,20152,Residential
8,107,Dline International Llc,Defense Line International,25872 Flintonbridge Dr,South Riding,20152,Business
1,153,"St Michael's Armament, Llc",No Business Name Provided,4517 Sudley Road,Gainesville,20155,Residential
1,153,Falcon Advantage Llc,No Business Name Provided,7736 Royal Sydney Dr,Gainesville,20155,Residential
1,153,"Boyd, Robert L Successor To Boyd, Robert Lee",Bob's Guns,5487 Lickriver Lane,Gainesville,20155,Business
1,153,"Bass Pro Outdoor World, Llc",Cabela's 478,5291 Wellington Branch Drive,Gainesville,20155,Business
1,153,Milo Beauregard Firearms Services Llc,No Business Name Provided,7951 Lukes Lodge Place,Gainesville,20155,Residential
1,107,"Defense Contracting Activity, Llc",No Business Name Provided,62 E Colonial Hwy,Hamilton,20158,Residential
7,107,Bullets And Beans Llc,No Business Name Provided,62 E Colonial Hwy,Hamilton,20158,Residential
7,107,Warthog Defense Llc,No Business Name Provided,17562 Deavers Ct,Hamilton,20158,Residential
7,107,"Moseley, Johnny D",No Business Name Provided,16503 Loneoak Place,Hamilton,20158,Residential
1,107,"Rodgers, Richard M",Virginia Arms,107 Orchard Cir,Hamilton,201580000,Business
1,107,"Zamak Enterprises, Llc",No Business Name Provided,39489 Charles Town Pike,Hamilton,201583321,Residential
1,107,"Ptex International, Inc",No Business Name Provided,207 East Holly Ave Ste 109,Sterling,20164,Residential
1,107,"Steinschneider, Phil",Cool F/X,201 Autumn Olive Way,Sterling,20164,Business
1,107,"Coughlan, Robert Eugene Jr",Reloading Shop,110 Pepperidge Place,Sterling,20164,Business
7,107,R&R Customs Llc,No Business Name Provided,201 Davis Dr Ste Pp,Sterling,20164,Residential
7,107,"Aigle Noir Weapons, Llc",Precision Kinetic Solutions,607 West Maple Ave ,Sterling,20164,Business
11,107,General Dynamics Information Technology Inc,Gdit,22626 Sally Ride Dr,Sterling,20164,Business
1,107,"Shoaf, Marvin M Jr",No Business Name Provided,40 Cedar Dr,Sterling,201640000,Residential
7,107,Sterling Arsenal Works & Tactical Supply Llc,Sterling Arsenal,201 Davis Drive Unit Ff,Sterling,201644496,Business
7,107,"Stp Sterling Trading Post, Llc",No Business Name Provided,22054 Shaw Road Unit Bs,Sterling,201649321,Residential
1,107,"Green, David Robert",Broad Run Arms,20248 Youngs Cliff Rd,Sterling,20165,Business
1,107,"White, Patrick Ryan",No Business Name Provided,46322 Haven Ter,Sterling,20165,Residential
8,107,Audax East West Trading Company Llc,No Business Name Provided,12 Jeremy Ct,Sterling,20165,Residential
1,107,Sovana Global Logistics Llc,No Business Name Provided,45969 Nokes Blvd Suite 175,Dulles,20166,Residential
1,107,Zlc Solutions Llc,No Business Name Provided,45180 Global Plaza Suite 100,Sterling,20166,Residential
1,107,"Guardian Angel Defense, Llc",No Business Name Provided,24612 Cervelo Terrace,Sterling,20166,Residential
7,107,Whitney Arms Llc,No Business Name Provided,23585 Overland Dr Suite 186,Sterling,20166,Residential
8,107,Polaris Development Corp,Polaris Logistics,22650 Executive Dr Ste 137,Sterling,20166,Business
8,107,Sterling Arms And Ammunition Llc,No Business Name Provided,45567 Ruislip Manor Way,Sterling,20166,Residential
8,107,Materel Llc,No Business Name Provided,22195 Shaw Rd Ste 200,Sterling,20166,Residential
7,107,International Trade & Technologies Inc,No Business Name Provided,22831 Silverbrook Center Dr #135,Sterling,201664382,Residential
1,153,"The American Gun Shop, Llc",No Business Name Provided,6071 Alderdale Place,Haymarket,20169,Residential
1,153,C4a Llc,No Business Name Provided,2780 Meander Creek Ln,Haymarket,20169,Residential
1,153,Cragmere Tactical Llc,No Business Name Provided,1603 Mercer Road,Haymarket,20169,Residential
1,153,"Wal-Mart Stores East, Lp",Walmart #3077,6530 Trading Square,Haymarket,20169,Business
1,59,3dnet Inc,Firearms Zone,485 Montalto Dr Ste 100,Herndon,20170,Business
7,59,Herndon Arms Llc,Herndon Arms,795 Center St Ste 4a,Herndon,20170,Business
7,59,Steinlicht Night Research Labs Llc,Snr Industries,503 Carlisle Dr Ste 225c & 225e,Herndon,20170,Business
1,59,Paragon Systems Inc,No Business Name Provided,13900 Lincoln Park Dr Ste 300,Herndon,20171,Residential
1,59,Electronic Warfare Associates Inc,No Business Name Provided,13873 Park Center Rd,Herndon,20171,Residential
1,59,Chantilly Custom Works Llc,No Business Name Provided,13169 Ruby Lace Ct,Herndon,20171,Residential
1,59,Omniplex World Services Corporation,No Business Name Provided,13530 Dulles Technology Dr Ste 400,Herndon,20171,Residential
1,59,T2 Solutions Llc,T2 Tactical Firearms,13800 Coppermine Road Ste 153,Herndon,20171,Business
1,59,Centerra Group Llc,No Business Name Provided,13530 Dulles Technology Dr Ste 500,Herndon,20171,Residential
7,59,"Electronic Warfare Associates, Inc",No Business Name Provided,13873 Park Center Rd Ste 500,Herndon,20171,Residential
11,59,Electronic Warfare Associates Inc,No Business Name Provided,"13873 Park Center Rd, Suite 500",Herndon,201710000,Residential
1,59,"Evans, David D",Aesir Supply Company,13617 Mountain View Court,Oak Hill,201713504,Business
1,107,"Royster, William Patrick Grant",Invictus Industries Llc,39548 Whispering Brook Pl,Leesburg,20175,Business
1,107,Chili Palmer Consulting Llc,No Business Name Provided,40372 Delta Diamond Ln,Leesburg,20175,Residential
1,107,Noteiks Llc,American Fusion Systems,141 Spencer Terrace Se,Leesburg,20175,Business
1,107,Loudoun Guns Inc,No Business Name Provided,302 Industrial Ct Se Ste F,Leesburg,20175,Residential
1,107,Fflpro Llc,No Business Name Provided,20538 Tanager Pl,Leesburg,20175,Residential
7,107,Bullseye Guns Of Virginia Llc,Bullseye Guns Of Leesburg,15a Catoctin Circle Se Suite A,Leesburg,20175,Business
1,107,"Lee, Daniel Cooper",No Business Name Provided,103 Sycolin Rd Se,Leesburg,201750000,Residential
1,107,"Ketron, Robert Eugene",Ketron Gun Repair,810 Wage Dr Sw,Leesburg,201753420,Business
1,107,Hyecal Firearms Llc,Hyecal Firearms,18430 Cattail Spring Dr,Leesburg,20176,Business
1,107,Luckett Arms Llc,Luckett Arms,41460 Daleview Lane,Leesburg,20176,Business
1,107,Go2 Enterprises Llc,No Business Name Provided,503 Duff Rd Ne,Leesburg,20176,Residential
1,107,Lost Corner Gun Services Llc,Lost Corner Guns,13470 Nolands Ferry Rd,Leesburg,20176,Business
2,107,"Loudoun Exchange & Jewelry, Inc",No Business Name Provided,940 E Edwards Ferry Rd,Leesburg,20176,Residential
1,107,Irish Corner Guns Llc,No Business Name Provided,27 East Broadway,Lovettsville,20180,Residential
1,107,Minuteman Arms Llc,No Business Name Provided,12855 Mountain Rd,Lovettsville,20180,Residential
7,107,"Dunns Gun Shop, Llc",No Business Name Provided,2 N Berlin Pike #6,Lovettsville,20180,Residential
8,107,Minuteman Arms Llc,Minuteman Arms,"2 North Berlin Pike, Suite 6",Lovettsville,20180,Business
7,61,His Arms Llc,No Business Name Provided,7337 Rogues Rd,Nokesville,20181,Residential
1,153,"Gudz, Robert J",International Police Supply,8815 Liberty Oaks Place,Nokesville,20181,Business
1,153,Aden Grocery Llc,No Business Name Provided,13717 Aden Rd,Nokesville,20181,Residential
1,61,"C S Arms, Inc",No Business Name Provided,9150 John S Mosby Hwy,Upperville,20185,Residential
1,61,"Paladin Tactical, Llc",No Business Name Provided,8474 Leeds Manor Rd,Warrenton,20186,Residential
1,61,Wal-Mart Stores East Lp,Wal-Mart Store #2437,700 James Madison Hwy,Warrenton,20186,Business
1,61,"Hearsey, John J",Defense Products Consultants,7449 Foxview Dr,Warrenton,20186,Business
2,61,"Fauquier Pawn, Llc",No Business Name Provided,281 W Shirley Ave,Warrenton,20186,Residential
7,61,Patriot Group International Inc,No Business Name Provided,40 Rock Pointe Lane Ste 201,Warrenton,20186,Residential
7,61,Highflyer Arms Llc,Highflyer Arms,10 S 5th St,Warrenton,20186,Business
10,61,Vertu Corp,C-More Competition,680c Industrial Rd,Warrenton,20186,Business
1,61,Clarks Gun Shop Inc,Clark Brothers,10016 James Madison Hwy,Warrenton,201860000,Business
1,61,"Devito, Joseph",No Business Name Provided,6092 Miles Lane,Warrenton,20187,Residential
1,61,Mill Creek Arms Llc,No Business Name Provided,7232 Freemont Hill Ct,Warrenton,20187,Residential
1,61,"Valor Arms Training, Llc",No Business Name Provided,4623 Old Auburn Road,Warrenton,20187,Residential
1,61,Catoctin Group Incorporated,Cgi Guns & Training,5738 Meade Palmer Ln,Warrenton,20187,Business
1,61,More Than 2 Arms Llc,No Business Name Provided,7405 Stuart Circle,Warrenton,20187,Residential
1,61,"Cpc Engineering Services, Llc",Cpc Engineering Services,7041 Ivy Hill Dr,Warrenton,20187,Business
1,61,"Blue Alchemy Designs, Llc",Blue Alchemy Designs,6476 Airlie Road,Warrenton,20187,Business
7,61,"The Osen - Hunter Group, Llc",No Business Name Provided,6801 Kennedy Road Suite 202,Warrenton,20187,Residential
7,61,"Xcellent Technology Solutions, Inc",No Business Name Provided,6801 Kennedy Road Suite 210,Warrenton,20187,Residential
1,61,"Stewart, James Martin",No Business Name Provided,7450 Maple Ct,Warrenton,201870000,Residential
1,61,"Frantz, Karl A & Frantz, Jonell",Kj Guns,6618 Kelly Rd,Warrenton,201872675,Business
1,59,Hans Armory Llc,No Business Name Provided,11231 Beaker St,Reston,20190,Residential
11,59,Tlg Worldwide Llc,Tradewinds Logistics Group,"12100 Sunset Hills Rd, Suite 310",Reston,20190,Business
1,59,Tac Arms Llc,No Business Name Provided,11698 Decade Ct,Reston,20191,Residential
1,107,Rowen Custom Grips Llc,No Business Name Provided,40729 Hannah Dr,Waterford,20197,Residential
1,107,"Price, Christopher Darrell",No Business Name Provided,15423 Clover Hill Rd,Waterford,20197,Residential
7,107,"Heartwell Arms, Llc",No Business Name Provided,14786 Bankfield Dr,Waterford,20197,Residential
1,61,Jjwlw Enterprises Llc,Priceless Arms,7447 Meadow View Lane,The Plains,20198,Business
1,59,"Oconus Security, Llc",No Business Name Provided,7212 Byrneley Lane,Annandale,22003,Residential
1,59,"Laikin, Edward Charles",No Business Name Provided,8834 Stark Rd,Annandale,22003,Residential
7,59,Verso Armament Company Llc,No Business Name Provided,8433 Briar Creek Dr,Annandale,22003,Residential
7,59,Leadbelly Llc,No Business Name Provided,8820 Stark Rd,Annandale,22003,Residential
1,59,"Frazier, Douglas P",Peacock Hill Trading Co,5001 Althea Dr,Annandale,220030000,Business
1,59,"Pawlow, Stephen A",Steve's Guns & Ammo,9200 Burnetta Dr,Annandale,220034016,Business
1,59,Hutton Tactical Arms And Ammo Llc,No Business Name Provided,10223 Heron Pond Terrace,Burke,22015,Residential
1,59,"Outdoor Arms, Llc",No Business Name Provided,9445 Lapstrake Lane,Burke,22015,Residential
1,59,"Cercone, Edward Anthony",Virginia Arms & Supplies,9220 Winbourne Rd,Burke,220150000,Business
1,59,"Madden, James E",J & M Supply,10423 Heritage Landing Rd,Burke,220150000,Business
1,59,"Parabellum Defense Solutions, Llc",No Business Name Provided,10203 Eagle Landing Ct,Burke,220152525,Residential
1,59,"Farahs Coollectibles, Llc",No Business Name Provided,8905 Marianna Ct,Burke,220153639,Residential
1,153,Frenchies Freedom Tools Llc,Frenchies Freedom Tools,15461 Golf Club Drive,Montclair,22025,Business
1,153,"Geffert, Michael A",On Target Guns,15717 Edgewood Dr,Dumfries,220251727,Business
1,153,Rmfd Enterprises Llc,Kitchen Table Guns,2765 Cockspur Lane,Dumfries,22026,Business
1,59,"Teragon Systems, Llc",No Business Name Provided,4045 Fairfax Center Hunt Trl,Fairfax,22030,Residential
1,59,"Securevision Partners, Llc",No Business Name Provided,5201 Prestwick Drive,Fairfax,22030,Residential
8,59,Capital Beltfed Llc,No Business Name Provided,10621 Elmont Ct,Fairfax,22030,Residential
1,600,Quality Firearms Inc,No Business Name Provided,5755 Walcott Avenue,Fairfax,22030,Residential
1,600,"Grady, Timothy W",No Business Name Provided,12592 Birkdale Way,Fairfax,22030,Residential
1,600,Thousand Pikes Llc,Thousand Pikes Arsenal,3850 Jermantown Rd Nova Labs Innovation Center,Fairfax,22030,Business
1,600,"Nelson, David L",No Business Name Provided,5531 Beech Ridge Dr,Fairfax,22030,Residential
7,600,"Sugar Skull Arms, Llc",No Business Name Provided,10849 Santa Clara Dr,Fairfax,22030,Residential
9,600,Ecology Mir Group,Ecology Mir Group,10400 Eaton Place Ste 250,Fairfax,22030,Business
1,600,National Security Inc,No Business Name Provided,10410 Main St,Fairfax,220300000,Residential
1,600,"Fattahi, Farrokh",Innovative Tactical Solutions,10706 Orchard Street,Fairfax,220303015,Business
1,600,"Pinto, R Grant",High Caliber,4415 Holly Avenue,Fairfax,220306727,Business
1,600,National Rifle Association Of America,No Business Name Provided,11250 Waples Mill Rd Room 2216,Fairfax,220307400,Residential
1,59,Us21 Inc,Us21,2721 Prosperity Ave Ste 300,Fairfax,22031,Business
1,59,Bay Berry Cove Group Llc,Bayberry Cove Armory,3924 Tedrich Blvd,Fairfax,22031,Business
2,600,"Famous Pawn, Inc",First Cash Pawn,9766 Fairfax Blvd,Fairfax,22031,Business
1,59,John Yu Tactical Llc,No Business Name Provided,9404 Starlit Ponds Dr,Fairfax,22032,Residential
1,59,"Antesberger, Edward A",No Business Name Provided,4008 Old Hickory Rd,Fairfax,220320000,Residential
1,59,"House Cabana Armaments, Llc",Quartermaster Arms,13106 Parson Lane,Fairfax,22033,Business
1,59,Commonwealth Arsenal,No Business Name Provided,12212 Grassy Hill Ct,Fairfax,22033,Residential
1,59,Vaxcom Services Inc,No Business Name Provided,12150 Monument Drive #220,Fairfax,22033,Residential
7,59,Aspire Investment Group Inc,Silent Defender/Pew Media,"4000 Legato Road, Suite 1100",Fairfax,22033,Business
7,59,Chainlink Technology Llc,Hinton Arms,"4000 Legato Rd, Suite 1100, Office #61",Fairfax,22033,Business
9,59,Rype Solutions Llc,No Business Name Provided,3975 Fair Ridge Drive Suite - 255s,Fairfax,22033,Residential
8,59,Ecology Mir Group Llc,No Business Name Provided,10400 Eaton Place   Ste 250,Fairfax,22036,Residential
1,59,Ert Enterprises Llc,No Business Name Provided,10108 Crooked Creek Court,Fairfax Station,22039,Residential
1,59,"Schwieger, Thomas J",No Business Name Provided,11637 Havenner Road,Fairfax Station,22039,Residential
1,59,Armada Arms Llc,No Business Name Provided,11902 Yates Ford Road,Fairfax Station,22039,Residential
7,59,"Martinez, Gabriel Joseph",No Business Name Provided,11902 Yates Ford Road,Fairfax Station,22039,Residential
9,59,Dlkr Inc,Davis General Store,7600 Clifton Rd,Fairfax Station,22039,Business
1,59,"Fiorillo, Michael Jr",No Business Name Provided,11004 Hampton Road,Fairfax Station,220390000,Residential
6,59,"Brining, Dennis L",Dlb Enterprise,5933 Fairview Woods Dr,Fairfax,220390000,Business
1,59,K2 Sporting Arms Llc,No Business Name Provided,3223 Sherry Ct,Falls Church,22042,Residential
1,59,"Pinto, R Grant",No Business Name Provided,6071 Arlington Blvd,Falls Church,22044,Residential
1,610,Tim Davis Inc,Tim Davis Firearms,118 E Broad Street #A,Falls Church,22046,Business
1,610,Quinn & Sons Inc,Quinns Auction Galleries,360 S Washington Street,Falls Church,22046,Business
1,59,Army & Air Force Exchange Service,Fort Belvoir,8651 John J Kingman Rd  Bldg 2321,Fort Belvoir,22060,Business
